dataZone,councilArea,SIMD2020CrimeDomainRank,crimeCount,crimeRate
S01006506,Aberdeen City,4664,11,125
S01006507,Aberdeen City,4602,10,128
S01006508,Aberdeen City,4563.5,8,130
S01006509,Aberdeen City,5626,4,75
S01006510,Aberdeen City,3885,11,168
S01006511,Aberdeen City,6928,*,*
S01006512,Aberdeen City,4528,7,132
S01006513,Aberdeen City,6928,*,*
S01006514,Aberdeen City,5507,9,81
S01006515,Aberdeen City,6844,*,*
S01006516,Aberdeen City,4580,8,129
S01006517,Aberdeen City,5594,8,77
S01006518,Aberdeen City,6792,*,*
S01006519,Aberdeen City,5628,7,75
S01006520,Aberdeen City,6928,*,*
S01006521,Aberdeen City,5889,5,64
S01006522,Aberdeen City,6273,3,45
S01006523,Aberdeen City,5000,10,106
S01006524,Aberdeen City,6586,3,29
S01006525,Aberdeen City,5803,6,67
S01006526,Aberdeen City,5840,6,66
S01006527,Aberdeen City,2692,19,255
S01006528,Aberdeen City,3786,20,176
S01006529,Aberdeen City,1432,38,413
S01006530,Aberdeen City,2494,21,271
S01006531,Aberdeen City,2237,28,300
S01006532,Aberdeen City,3342,16,204
S01006533,Aberdeen City,4095,11,155
S01006534,Aberdeen City,3383,19,201
S01006535,Aberdeen City,4257,15,145
S01006536,Aberdeen City,1729,36,363
S01006537,Aberdeen City,6866,*,*
S01006538,Aberdeen City,6731,*,*
S01006539,Aberdeen City,5867,5,65
S01006540,Aberdeen City,5378,8,87
S01006541,Aberdeen City,6463,3,35
S01006542,Aberdeen City,5703,8,72
S01006543,Aberdeen City,6928,*,*
S01006544,Aberdeen City,6663,3,24
S01006545,Aberdeen City,3834,19,172
S01006546,Aberdeen City,6928,*,*
S01006547,Aberdeen City,2085,39,318
S01006548,Aberdeen City,6928,*,*
S01006549,Aberdeen City,5084,8,102
S01006550,Aberdeen City,5324,8,90
S01006551,Aberdeen City,523,49,690
S01006552,Aberdeen City,5052,9,103
S01006553,Aberdeen City,4687,11,123
S01006554,Aberdeen City,923,41,521
S01006555,Aberdeen City,463,54,733
S01006556,Aberdeen City,2882,19,239
S01006557,Aberdeen City,3052,15,224
S01006558,Aberdeen City,4134,9,153
S01006559,Aberdeen City,4464,8,135
S01006560,Aberdeen City,5547,8,80
S01006561,Aberdeen City,3906,12,167
S01006562,Aberdeen City,4252,14,146
S01006563,Aberdeen City,90,95,1406
S01006564,Aberdeen City,2221,30,302
S01006565,Aberdeen City,3067,22,223
S01006566,Aberdeen City,2545,20,266
S01006567,Aberdeen City,1695,27,367
S01006568,Aberdeen City,2570,24,264
S01006569,Aberdeen City,3977,9,162
S01006570,Aberdeen City,4688,9,123
S01006571,Aberdeen City,715,54,589
S01006572,Aberdeen City,4036,15,159
S01006573,Aberdeen City,5882,5,64
S01006574,Aberdeen City,2159,31,309
S01006575,Aberdeen City,4482,13,134
S01006576,Aberdeen City,1411,30,416
S01006577,Aberdeen City,4208,12,149
S01006578,Aberdeen City,3517,21,192
S01006579,Aberdeen City,3656,19,184
S01006580,Aberdeen City,3888,12,168
S01006581,Aberdeen City,6323,4,43
S01006582,Aberdeen City,12,308,3754
S01006583,Aberdeen City,2950,16,233
S01006584,Aberdeen City,2961,14,232
S01006585,Aberdeen City,208,83,999
S01006586,Aberdeen City,15,374,3562
S01006587,Aberdeen City,16,202,3529
S01006588,Aberdeen City,7,272,4351
S01006589,Aberdeen City,89,96,1415
S01006590,Aberdeen City,501,57,708
S01006591,Aberdeen City,2238,22,299
S01006592,Aberdeen City,4431,10,136
S01006593,Aberdeen City,4259,12,145
S01006594,Aberdeen City,3005,12,228
S01006595,Aberdeen City,5654,7,74
S01006596,Aberdeen City,4310,11,142
S01006597,Aberdeen City,665,32,611
S01006598,Aberdeen City,3870,17,169
S01006599,Aberdeen City,2024,26,324
S01006600,Aberdeen City,4375,17,139
S01006601,Aberdeen City,3923,17,166
S01006602,Aberdeen City,6677,*,*
S01006603,Aberdeen City,1098,38,479
S01006604,Aberdeen City,3854,11,171
S01006605,Aberdeen City,1276,34,441
S01006606,Aberdeen City,3734,14,179
S01006607,Aberdeen City,4292,13,143
S01006608,Aberdeen City,3653,30,184
S01006609,Aberdeen City,2254.5,31,298
S01006610,Aberdeen City,4338,6,141
S01006611,Aberdeen City,2426,25,279
S01006612,Aberdeen City,2921,20,236
S01006613,Aberdeen City,3842,10,171
S01006614,Aberdeen City,6266,3,45
S01006615,Aberdeen City,5958,5,60
S01006616,Aberdeen City,6081,4,54
S01006617,Aberdeen City,3533,12,191
S01006618,Aberdeen City,6322,*,*
S01006619,Aberdeen City,5501,7,82
S01006620,Aberdeen City,4579,10,129
S01006621,Aberdeen City,6375,*,*
S01006622,Aberdeen City,6255,3,46
S01006623,Aberdeen City,60,117,1634
S01006624,Aberdeen City,1381,32,420
S01006625,Aberdeen City,567,42,669
S01006626,Aberdeen City,374,55,801
S01006627,Aberdeen City,1592,31,384
S01006628,Aberdeen City,313,89,845
S01006629,Aberdeen City,1272,38,441
S01006630,Aberdeen City,1393,27,419
S01006631,Aberdeen City,550,71,677
S01006632,Aberdeen City,820,46,552
S01006633,Aberdeen City,56,112,1703
S01006634,Aberdeen City,100,83,1331
S01006635,Aberdeen City,736,36,581
S01006636,Aberdeen City,343,66,825
S01006637,Aberdeen City,544,53,682
S01006638,Aberdeen City,438,59,754
S01006639,Aberdeen City,681,56,603
S01006640,Aberdeen City,2794,20,246
S01006641,Aberdeen City,1976,34,330
S01006642,Aberdeen City,638,81,624
S01006643,Aberdeen City,2335,20,290
S01006644,Aberdeen City,2766,28,249
S01006645,Aberdeen City,104,90,1310
S01006646,Aberdeen City,311,73,847
S01006647,Aberdeen City,2027,20,324
S01006648,Aberdeen City,599,112,642
S01006649,Aberdeen City,675,58,605
S01006650,Aberdeen City,576,53,657
S01006651,Aberdeen City,255,63,927
S01006652,Aberdeen City,1896,25,340
S01006653,Aberdeen City,2844,13,242
S01006654,Aberdeen City,1544,34,393
S01006655,Aberdeen City,909,43,526
S01006656,Aberdeen City,1310,43,434
S01006657,Aberdeen City,4,388,7388
S01006658,Aberdeen City,1380,51,421
S01006659,Aberdeen City,4169,9,151
S01006660,Aberdeen City,1169,23,461
S01006661,Aberdeen City,4113,9,154
S01006662,Aberdeen City,1520,35,397
S01006663,Aberdeen City,4660,7,125
S01006664,Aberdeen City,2254.5,17,298
S01006665,Aberdeen City,3068,17,223
S01006666,Aberdeen City,629,63,627
S01006667,Aberdeen City,274,67,891
S01006668,Aberdeen City,2418,25,281
S01006669,Aberdeen City,991,49,504
S01006670,Aberdeen City,1172,39,461
S01006671,Aberdeen City,5221,19,95
S01006672,Aberdeen City,1474,32,405
S01006673,Aberdeen City,1249,38,446
S01006674,Aberdeen City,1375,38,421
S01006675,Aberdeen City,1794,32,354
S01006676,Aberdeen City,467,54,731
S01006677,Aberdeen City,509,51,699
S01006678,Aberdeen City,1524,67,395
S01006679,Aberdeen City,5469,5,82
S01006680,Aberdeen City,2082,28,318
S01006681,Aberdeen City,2592,20,262
S01006682,Aberdeen City,1864,32,345
S01006683,Aberdeen City,1757,33,359
S01006684,Aberdeen City,282,62,879
S01006685,Aberdeen City,647,42,619
S01006686,Aberdeen City,3588,11,188
S01006687,Aberdeen City,3307,15,207
S01006688,Aberdeen City,3416,18,199
S01006689,Aberdeen City,3630,17,185
S01006690,Aberdeen City,4077,9,156
S01006691,Aberdeen City,3975,10,163
S01006692,Aberdeen City,4736,9,121
S01006693,Aberdeen City,1832,33,348
S01006694,Aberdeen City,1229,41,452
S01006695,Aberdeen City,1202,33,457
S01006696,Aberdeen City,1103,38,479
S01006697,Aberdeen City,1640,34,375
S01006698,Aberdeen City,699,47,595
S01006699,Aberdeen City,1867,17,344
S01006700,Aberdeen City,2424,23,280
S01006701,Aberdeen City,716,39,588
S01006702,Aberdeen City,4563.5,10,130
S01006703,Aberdeen City,286,58,877
S01006704,Aberdeen City,827,30,550
S01006705,Aberdeen City,2992,17,228
S01006706,Aberdeen City,2752,15,250
S01006707,Aberdeen City,387,55,789
S01006708,Aberdeen City,3528,15,192
S01006709,Aberdeen City,2447,25,277
S01006710,Aberdeen City,3219,17,212
S01006711,Aberdeen City,2524,25,268
S01006712,Aberdeen City,3107,11,221
S01006713,Aberdeen City,2247,28,298
S01006714,Aberdeen City,3493,14,194
S01006715,Aberdeen City,693,36,598
S01006716,Aberdeen City,305,51,852
S01006717,Aberdeen City,694,58,597
S01006718,Aberdeen City,878,32,537
S01006719,Aberdeen City,4681,11,124
S01006720,Aberdeen City,4301,8,143
S01006721,Aberdeen City,985,48,505
S01006722,Aberdeen City,2171,21,307
S01006723,Aberdeen City,1156,30,465
S01006724,Aberdeen City,386,78,790
S01006725,Aberdeen City,3369,13,202
S01006726,Aberdeen City,932,46,520
S01006727,Aberdeen City,1142,51,468
S01006728,Aberdeen City,1870,26,344
S01006729,Aberdeen City,2541,23,266
S01006730,Aberdeen City,3429,15,198
S01006731,Aberdeen City,4160,8,152
S01006732,Aberdeen City,3063,24,223
S01006733,Aberdeen City,6327,4,42
S01006734,Aberdeen City,6145,5,51
S01006735,Aberdeen City,6117,3,53
S01006736,Aberdeen City,6616,3,27
S01006737,Aberdeen City,5098,9,101
S01006738,Aberdeen City,1495,36,401
S01006739,Aberdeen City,3938,20,165
S01006740,Aberdeen City,3230,16,212
S01006741,Aberdeen City,4119,10,154
S01006742,Aberdeen City,2375,13,286
S01006743,Aberdeen City,3699,13,181
S01006744,Aberdeen City,2506,17,270
S01006745,Aberdeen City,1214,38,454
S01006746,Aberdeen City,1892,28,341
S01006747,Aberdeen City,4961,11,108
S01006748,Aberdeen City,3864,20,170
S01006749,Aberdeen City,4408,12,138
S01006750,Aberdeen City,2223,20,301
S01006751,Aberdeen City,5407,4,85
S01006752,Aberdeen City,4861,8,114
S01006753,Aberdeen City,5250,8,93
S01006754,Aberdeen City,3513,16,193
S01006755,Aberdeen City,1118,38,474
S01006756,Aberdeen City,2775,19,249
S01006757,Aberdeen City,6687,*,*
S01006758,Aberdeen City,4413,9,137
S01006759,Aberdeen City,5398,5,86
S01006760,Aberdeen City,5753,3,69
S01006761,Aberdeen City,4748,8,120
S01006762,Aberdeen City,3833,18,172
S01006763,Aberdeen City,6201,4,48
S01006764,Aberdeen City,6316,3,43
S01006765,Aberdeen City,6728,*,*
S01006766,Aberdeen City,6753.5,*,*
S01006767,Aberdeen City,5590,5,77
S01006768,Aberdeen City,6179,3,49
S01006769,Aberdeen City,6503,3,33
S01006770,Aberdeen City,6753.5,*,*
S01006771,Aberdeen City,6928,*,*
S01006772,Aberdeen City,4774,10,119
S01006773,Aberdeen City,5033,9,104
S01006774,Aberdeen City,6762,*,*
S01006775,Aberdeen City,5418,6,85
S01006776,Aberdeen City,4396,7,138
S01006777,Aberdeen City,6928,*,*
S01006778,Aberdeen City,3866,10,170
S01006779,Aberdeen City,3311,12,206
S01006780,Aberdeen City,6744,*,*
S01006781,Aberdeen City,5321,6,90
S01006782,Aberdeen City,2685,20,255
S01006783,Aberdeen City,5831,4,66
S01006784,Aberdeen City,4710,7,122
S01006785,Aberdeen City,5725,4,70
S01006786,Aberdeen City,6641,*,*
S01006787,Aberdeen City,6189,3,49
S01006788,Aberdeen City,5685,11,72
S01006789,Aberdeenshire,5309,5,91
S01006790,Aberdeenshire,5542,7,80
S01006791,Aberdeenshire,5333,5,89
S01006792,Aberdeenshire,4852,5,115
S01006793,Aberdeenshire,5410,5,85
S01006794,Aberdeenshire,6928,*,*
S01006795,Aberdeenshire,4765,9,119
S01006796,Aberdeenshire,5761,6,69
S01006797,Aberdeenshire,6253.5,3,46
S01006798,Aberdeenshire,4963,7,108
S01006799,Aberdeenshire,2631,23,259
S01006800,Aberdeenshire,6460,3,35
S01006801,Aberdeenshire,5474,8,82
S01006802,Aberdeenshire,4456,10,135
S01006803,Aberdeenshire,6221,3,47
S01006804,Aberdeenshire,6834,*,*
S01006805,Aberdeenshire,4509,15,133
S01006806,Aberdeenshire,6386,4,40
S01006807,Aberdeenshire,5749,4,69
S01006808,Aberdeenshire,3991,11,161
S01006809,Aberdeenshire,6860.5,*,*
S01006810,Aberdeenshire,5738,6,70
S01006811,Aberdeenshire,5001,12,106
S01006812,Aberdeenshire,5296,8,91
S01006813,Aberdeenshire,4958,9,109
S01006814,Aberdeenshire,6106,4,53
S01006815,Aberdeenshire,4433,8,136
S01006816,Aberdeenshire,5811,5,67
S01006817,Aberdeenshire,6093,4,54
S01006818,Aberdeenshire,5245,7,94
S01006819,Aberdeenshire,4868,10,114
S01006820,Aberdeenshire,3406,8,200
S01006821,Aberdeenshire,4932,15,110
S01006822,Aberdeenshire,4153,14,152
S01006823,Aberdeenshire,5714,5,71
S01006824,Aberdeenshire,2679,20,256
S01006825,Aberdeenshire,3549,14,190
S01006826,Aberdeenshire,3661,16,183
S01006827,Aberdeenshire,4896,10,112
S01006828,Aberdeenshire,3141,18,219
S01006829,Aberdeenshire,6928,*,*
S01006830,Aberdeenshire,6368,3,40
S01006831,Aberdeenshire,6928,*,*
S01006832,Aberdeenshire,3602,18,187
S01006833,Aberdeenshire,4965,5,108
S01006834,Aberdeenshire,6705,*,*
S01006835,Aberdeenshire,482,55,720
S01006836,Aberdeenshire,5208,5,95
S01006837,Aberdeenshire,5330,5,90
S01006838,Aberdeenshire,6928,*,*
S01006839,Aberdeenshire,5471,8,82
S01006840,Aberdeenshire,5278,10,92
S01006841,Aberdeenshire,5731,6,70
S01006842,Aberdeenshire,4211,11,149
S01006843,Aberdeenshire,5896,5,64
S01006844,Aberdeenshire,6141,3,51
S01006845,Aberdeenshire,6262,4,46
S01006846,Aberdeenshire,4481,7,134
S01006847,Aberdeenshire,5708,5,71
S01006848,Aberdeenshire,5500,13,82
S01006849,Aberdeenshire,4889,22,113
S01006850,Aberdeenshire,4476,12,134
S01006851,Aberdeenshire,3633,14,185
S01006852,Aberdeenshire,6468,*,*
S01006853,Aberdeenshire,4118,14,154
S01006854,Aberdeenshire,5184,8,97
S01006855,Aberdeenshire,5066,8,103
S01006856,Aberdeenshire,4864,8,114
S01006857,Aberdeenshire,4631,15,126
S01006858,Aberdeenshire,6928,*,*
S01006859,Aberdeenshire,6342,4,42
S01006860,Aberdeenshire,6742,*,*
S01006861,Aberdeenshire,6196,3,48
S01006862,Aberdeenshire,4172,10,151
S01006863,Aberdeenshire,3608,12,187
S01006864,Aberdeenshire,6928,*,*
S01006865,Aberdeenshire,843,53,546
S01006866,Aberdeenshire,6713,*,*
S01006867,Aberdeenshire,6018,4,58
S01006868,Aberdeenshire,5374,7,87
S01006869,Aberdeenshire,3963,8,164
S01006870,Aberdeenshire,6319,*,*
S01006871,Aberdeenshire,6928,*,*
S01006872,Aberdeenshire,2948,21,233
S01006873,Aberdeenshire,6212,5,48
S01006874,Aberdeenshire,5772,4,68
S01006875,Aberdeenshire,5389,6,86
S01006876,Aberdeenshire,6874,*,*
S01006877,Aberdeenshire,6684,*,*
S01006878,Aberdeenshire,5188,7,96
S01006879,Aberdeenshire,5773,5,68
S01006880,Aberdeenshire,6928,*,*
S01006881,Aberdeenshire,6063,3,55
S01006882,Aberdeenshire,6632,*,*
S01006883,Aberdeenshire,6689,*,*
S01006884,Aberdeenshire,2959,19,232
S01006885,Aberdeenshire,5742,6,70
S01006886,Aberdeenshire,5543,7,80
S01006887,Aberdeenshire,6793,*,*
S01006888,Aberdeenshire,6416,3,38
S01006889,Aberdeenshire,2826,19,244
S01006890,Aberdeenshire,4214,9,149
S01006891,Aberdeenshire,3440,20,198
S01006892,Aberdeenshire,3798,10,175
S01006893,Aberdeenshire,5181,5,97
S01006894,Aberdeenshire,6873,*,*
S01006895,Aberdeenshire,1856,19,345
S01006896,Aberdeenshire,1105,38,478
S01006897,Aberdeenshire,5658,5,74
S01006898,Aberdeenshire,3970,13,163
S01006899,Aberdeenshire,6757,*,*
S01006900,Aberdeenshire,6040,3,57
S01006901,Aberdeenshire,4788,6,118
S01006902,Aberdeenshire,3079,14,222
S01006903,Aberdeenshire,3071,17,223
S01006904,Aberdeenshire,3220,16,212
S01006905,Aberdeenshire,1841,30,348
S01006906,Aberdeenshire,780,44,564
S01006907,Aberdeenshire,96,97,1361
S01006908,Aberdeenshire,1270,36,442
S01006909,Aberdeenshire,5810,8,67
S01006910,Aberdeenshire,6083,5,54
S01006911,Aberdeenshire,6157,4,50
S01006912,Aberdeenshire,4212,9,149
S01006913,Aberdeenshire,5993,7,59
S01006914,Aberdeenshire,4322.5,10,142
S01006915,Aberdeenshire,6444,3,36
S01006916,Aberdeenshire,4322.5,8,142
S01006917,Aberdeenshire,5252,10,93
S01006918,Aberdeenshire,4265,7,145
S01006919,Aberdeenshire,6928,*,*
S01006920,Aberdeenshire,3437,9,198
S01006921,Aberdeenshire,5120,8,100
S01006922,Aberdeenshire,6279,3,45
S01006923,Aberdeenshire,4867,9,114
S01006924,Aberdeenshire,2507,15,270
S01006925,Aberdeenshire,5825,3,66
S01006926,Aberdeenshire,6380,3,40
S01006927,Aberdeenshire,6462,4,35
S01006928,Aberdeenshire,2534,28,267
S01006929,Aberdeenshire,6176,4,49
S01006930,Aberdeenshire,6660,*,*
S01006931,Aberdeenshire,6635,*,*
S01006932,Aberdeenshire,5445,11,84
S01006933,Aberdeenshire,6928,*,*
S01006934,Aberdeenshire,5855,7,65
S01006935,Aberdeenshire,6805,*,*
S01006936,Aberdeenshire,4980,6,107
S01006937,Aberdeenshire,6928,*,*
S01006938,Aberdeenshire,6358,*,*
S01006939,Aberdeenshire,6749,*,*
S01006940,Aberdeenshire,6230,4,47
S01006941,Aberdeenshire,2155,19,309
S01006942,Aberdeenshire,6553,3,31
S01006943,Aberdeenshire,6253.5,3,46
S01006944,Aberdeenshire,6155,6,50
S01006945,Aberdeenshire,6286,*,*
S01006946,Aberdeenshire,3523,14,192
S01006947,Aberdeenshire,4751,10,120
S01006948,Aberdeenshire,4975,9,108
S01006949,Aberdeenshire,5429,6,84
S01006950,Aberdeenshire,4254,9,146
S01006951,Aberdeenshire,6928,*,*
S01006952,Aberdeenshire,4646,10,125
S01006953,Aberdeenshire,6401,3,39
S01006954,Aberdeenshire,5643,6,75
S01006955,Aberdeenshire,4184,9,150
S01006956,Aberdeenshire,6069,6,55
S01006957,Aberdeenshire,5480,9,82
S01006958,Aberdeenshire,3271,27,209
S01006959,Aberdeenshire,868,38,541
S01006960,Aberdeenshire,6563,3,30
S01006961,Aberdeenshire,6699,*,*
S01006962,Aberdeenshire,5416,7,85
S01006963,Aberdeenshire,6524,*,*
S01006964,Aberdeenshire,4684,8,124
S01006965,Aberdeenshire,6352,*,*
S01006966,Aberdeenshire,2673,14,256
S01006967,Aberdeenshire,6928,*,*
S01006968,Aberdeenshire,1868,16,344
S01006969,Aberdeenshire,5415,7,85
S01006970,Aberdeenshire,5532,5,80
S01006971,Aberdeenshire,2943,11,234
S01006972,Aberdeenshire,6778,*,*
S01006973,Aberdeenshire,3527,12,192
S01006974,Aberdeenshire,6374,4,40
S01006975,Aberdeenshire,6140,5,51
S01006976,Aberdeenshire,5322,4,90
S01006977,Aberdeenshire,2102,25,316
S01006978,Aberdeenshire,4261,13,145
S01006979,Aberdeenshire,5430,8,84
S01006980,Aberdeenshire,4644,11,125
S01006981,Aberdeenshire,6353,3,41
S01006982,Aberdeenshire,5017,9,105
S01006983,Aberdeenshire,3760,13,177
S01006984,Aberdeenshire,3794,15,175
S01006985,Aberdeenshire,5598,7,77
S01006986,Aberdeenshire,5960.5,4,60
S01006987,Aberdeenshire,2747,17,250
S01006988,Aberdeenshire,5242,6,94
S01006989,Aberdeenshire,5848,7,65
S01006990,Aberdeenshire,6162,5,50
S01006991,Aberdeenshire,2367,12,287
S01006992,Aberdeenshire,6752,*,*
S01006993,Aberdeenshire,6928,*,*
S01006994,Aberdeenshire,6447,*,*
S01006995,Aberdeenshire,6678,*,*
S01006996,Aberdeenshire,5008,9,106
S01006997,Aberdeenshire,5228,8,95
S01006998,Aberdeenshire,5239,12,94
S01006999,Aberdeenshire,5143,8,99
S01007000,Aberdeenshire,3947,16,165
S01007001,Aberdeenshire,4280,15,144
S01007002,Aberdeenshire,2785,18,248
S01007003,Aberdeenshire,4594,7,128
S01007004,Aberdeenshire,5551,6,79
S01007005,Aberdeenshire,6860.5,*,*
S01007006,Aberdeenshire,5301.5,8,91
S01007007,Aberdeenshire,5077,8,102
S01007008,Aberdeenshire,4207,15,149
S01007009,Aberdeenshire,4085,16,156
S01007010,Aberdeenshire,3849,13,171
S01007011,Aberdeenshire,591,52,648
S01007012,Aberdeenshire,2516,18,269
S01007013,Aberdeenshire,4951,6,109
S01007014,Aberdeenshire,5814,7,67
S01007015,Aberdeenshire,6256,3,46
S01007016,Aberdeenshire,5301.5,5,91
S01007017,Aberdeenshire,2787,23,247
S01007018,Aberdeenshire,6520,3,32
S01007019,Aberdeenshire,5955,4,61
S01007020,Aberdeenshire,1580,28,386
S01007021,Aberdeenshire,5891,5,64
S01007022,Aberdeenshire,6396,*,*
S01007023,Aberdeenshire,3727,8,179
S01007024,Aberdeenshire,6143,5,51
S01007025,Aberdeenshire,5205,8,96
S01007026,Aberdeenshire,4673,11,124
S01007027,Aberdeenshire,5978,6,60
S01007028,Aberdeenshire,4796,10,118
S01007029,Aberdeenshire,6402,*,*
S01007030,Aberdeenshire,5230,7,95
S01007031,Aberdeenshire,5874,4,64
S01007032,Aberdeenshire,1104,47,478
S01007033,Aberdeenshire,4878,8,114
S01007034,Aberdeenshire,2909,14,237
S01007035,Aberdeenshire,2009,27,326
S01007036,Aberdeenshire,1749,35,360
S01007037,Aberdeenshire,3592,17,187
S01007038,Aberdeenshire,3736,12,178
S01007039,Aberdeenshire,4089,15,156
S01007040,Aberdeenshire,1367,25,424
S01007041,Aberdeenshire,942,37,516
S01007042,Aberdeenshire,5479,6,82
S01007043,Aberdeenshire,5314,9,91
S01007044,Aberdeenshire,6743,*,*
S01007045,Aberdeenshire,2530,21,268
S01007046,Aberdeenshire,5712,4,71
S01007047,Aberdeenshire,4054,10,158
S01007048,Aberdeenshire,6446,3,36
S01007049,Aberdeenshire,2940,22,234
S01007050,Aberdeenshire,3650,11,184
S01007051,Aberdeenshire,4841.5,9,115
S01007052,Aberdeenshire,5918,5,62
S01007053,Aberdeenshire,4225,8,148
S01007054,Aberdeenshire,4326,14,142
S01007055,Aberdeenshire,5377,5,87
S01007056,Aberdeenshire,5933,4,61
S01007057,Aberdeenshire,5890,3,64
S01007058,Aberdeenshire,1800,20,352
S01007059,Aberdeenshire,2477,28,273
S01007060,Aberdeenshire,4665,7,125
S01007061,Aberdeenshire,5775,6,68
S01007062,Aberdeenshire,6928,*,*
S01007063,Aberdeenshire,6297,3,44
S01007064,Aberdeenshire,3704,15,181
S01007065,Aberdeenshire,2547,14,266
S01007066,Aberdeenshire,2371,18,287
S01007067,Aberdeenshire,6709,*,*
S01007068,Aberdeenshire,3518,14,192
S01007069,Aberdeenshire,4841.5,9,115
S01007070,Aberdeenshire,2656,12,257
S01007071,Aberdeenshire,5617,6,76
S01007072,Aberdeenshire,5146,6,99
S01007073,Aberdeenshire,527,82,687
S01007074,Aberdeenshire,2689,18,255
S01007075,Aberdeenshire,5960.5,4,60
S01007076,Aberdeenshire,2361,20,288
S01007077,Aberdeenshire,4546,8,131
S01007078,Aberdeenshire,811,45,555
S01007079,Aberdeenshire,722,56,586
S01007080,Aberdeenshire,934,39,520
S01007081,Aberdeenshire,2734,23,251
S01007082,Aberdeenshire,3347,10,204
S01007083,Aberdeenshire,1045,46,492
S01007084,Aberdeenshire,1582,24,385
S01007085,Aberdeenshire,105,98,1305
S01007086,Aberdeenshire,30,263,2228
S01007087,Aberdeenshire,774,47,567
S01007088,Aberdeenshire,677,32,605
S01007089,Aberdeenshire,5150,5,98
S01007090,Aberdeenshire,5049,5,103
S01007091,Aberdeenshire,2984,19,229
S01007092,Aberdeenshire,3379,11,201
S01007093,Aberdeenshire,5489,8,82
S01007094,Aberdeenshire,6440,3,36
S01007095,Aberdeenshire,5267,5,93
S01007096,Aberdeenshire,4566,12,130
S01007097,Aberdeenshire,4615,17,127
S01007098,Aberdeenshire,4590,14,128
S01007099,Aberdeenshire,4221,13,148
S01007100,Aberdeenshire,5458,6,83
S01007101,Aberdeenshire,3078,19,222
S01007102,Aberdeenshire,5668,5,73
S01007103,Aberdeenshire,5365,7,87
S01007104,Aberdeenshire,3138,11,219
S01007105,Aberdeenshire,1267,22,443
S01007106,Aberdeenshire,3848,12,171
S01007107,Aberdeenshire,4815,9,117
S01007108,Aberdeenshire,2180,22,306
S01007109,Aberdeenshire,2549,22,266
S01007110,Aberdeenshire,1962,28,332
S01007111,Aberdeenshire,3506,9,193
S01007112,Aberdeenshire,1866,18,344
S01007113,Aberdeenshire,3316,11,206
S01007114,Aberdeenshire,6442,3,36
S01007115,Aberdeenshire,6588,*,*
S01007116,Aberdeenshire,6604,3,28
S01007117,Aberdeenshire,5724,3,71
S01007118,Aberdeenshire,3221,13,212
S01007119,Aberdeenshire,1467,30,407
S01007120,Aberdeenshire,489,71,715
S01007121,Aberdeenshire,177,59,1064
S01007122,Aberdeenshire,1138,27,469
S01007123,Aberdeenshire,594,44,645
S01007124,Aberdeenshire,4300,12,143
S01007125,Aberdeenshire,1625,32,379
S01007126,Aberdeenshire,165,102,1093
S01007127,Aberdeenshire,54,172,1762
S01007128,Aberdeenshire,331,68,831
S01007129,Angus,6512,3,33
S01007130,Angus,4577,7,129
S01007131,Angus,6833,*,*
S01007132,Angus,4513,9,132
S01007133,Angus,2304,19,293
S01007134,Angus,4416,10,137
S01007135,Angus,6426,*,*
S01007136,Angus,3815,10,173
S01007137,Angus,6829,*,*
S01007138,Angus,4470,8,135
S01007139,Angus,5875,5,64
S01007140,Angus,4653,14,125
S01007141,Angus,5342,6,89
S01007142,Angus,4971,7,108
S01007143,Angus,6928,*,*
S01007144,Angus,3065,19,223
S01007145,Angus,3375,17,202
S01007146,Angus,4402,10,138
S01007147,Angus,4176,10,151
S01007148,Angus,6714,*,*
S01007149,Angus,6408,*,*
S01007150,Angus,4154,11,152
S01007151,Angus,6511,3,33
S01007152,Angus,6928,*,*
S01007153,Angus,6519,*,*
S01007154,Angus,5493,6,82
S01007155,Angus,6485,*,*
S01007156,Angus,5409,6,85
S01007157,Angus,5327,5,90
S01007158,Angus,5050,9,103
S01007159,Angus,4032,15,159
S01007160,Angus,4976,9,108
S01007161,Angus,2142,24,311
S01007162,Angus,5275,5,92
S01007163,Angus,4041,14,158
S01007164,Angus,6738,*,*
S01007165,Angus,5745,6,70
S01007166,Angus,5925,4,62
S01007167,Angus,5031,8,104
S01007168,Angus,6855,*,*
S01007169,Angus,4625,9,126
S01007170,Angus,5557,5,79
S01007171,Angus,6200,5,48
S01007172,Angus,3385,22,201
S01007173,Angus,6657,*,*
S01007174,Angus,444,71,747
S01007175,Angus,6776,*,*
S01007176,Angus,6775,*,*
S01007177,Angus,1728,23,363
S01007178,Angus,1823,36,350
S01007179,Angus,3883,15,168
S01007180,Angus,3031,16,225
S01007181,Angus,2614,22,260
S01007182,Angus,2046,32,322
S01007183,Angus,2997,25,228
S01007184,Angus,363,81,810
S01007185,Angus,1097,42,479
S01007186,Angus,128,72,1195
S01007187,Angus,196,86,1023
S01007188,Angus,1804,19,352
S01007189,Angus,1345,37,427
S01007190,Angus,3284,17,208
S01007191,Angus,3352,11,203
S01007192,Angus,2995,18,228
S01007193,Angus,4650,9,125
S01007194,Angus,626,38,627
S01007195,Angus,760,32,571
S01007196,Angus,5488,8,82
S01007197,Angus,333,47,831
S01007198,Angus,861,29,542
S01007199,Angus,1053,39,490
S01007200,Angus,2870,19,240
S01007201,Angus,2297,20,294
S01007202,Angus,4226,10,148
